CODIGO,DESCRICAO_CID
T024,Fraturas envolvendo regiões múltiplas de ambos os membros superiores
T025,Fraturas envolvendo regiões múltiplas de ambos os membros inferiores
T028,Fraturas envolvendo outras combinações de regiões do corpo
T029,Fraturas múltiplas não especificadas
T039,"Luxações, entorses e distensões múltiplas, não especificadas"
T068,Outros traumatismos especificados envolvendo regiões múltiplas do corpo
T07,Traumatismos múltiplos não especificados
T111,"Ferimento do membro superior, nível não especificado"
T131,"Ferimento de membro inferior, nível não especificado"
T140,Traumatismo superficial de região não especificada do corpo
T141,Ferimento de região não especificada do corpo
T144,Traumatismo de nervo(s) de região não especificada do corpo
T149,Traumatismo não especificado
T16,Corpo estranho no ouvido
T171,Corpo estranho na narina
T174,Corpo estranho na traquéia
T180,Corpo estranho na boca
T181,Corpo estranho no esôfago
T182,Corpo estranho no estômago
T185,Corpo estranho no ânus e reto
T188,Corpo estranho em outras partes e partes múltiplas do aparelho digestivo
T189,Corpo estranho em parte não especificada do aparelho digestivo
T191,Corpo estranho na bexiga
T203,Queimadura de terceiro grau da cabeça e do pescoço
T213,Queimadura de terceiro grau do tronco
T223,"Queimadura de terceiro grau do ombro e do membro superior, exceto punho e mão"
T233,Queimadura de terceiro grau do punho e da mão
T243,"Queimadura de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé"
T253,Queimadura de terceiro grau do tornozelo e do pé
T290,"Queimaduras múltiplas, grau não especificado"
T292,"Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o segundo grau"
T293,"Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau"
T300,"Queimadura, parte do corpo não especificada, grau não especificado"
T302,"Queimadura de segundo grau, parte do corpo não especificada"
T303,"Queimadura de terceiro grau, parte do corpo não especificada"
T310,Queimaduras envolvendo menos de 10% da superfície corporal
T311,Queimaduras envolvendo de 10 - 19% da superfície corporal
T424,Intoxicação por benzodiazepinas
T439,Intoxicação por droga psicotrópica não especificada
T455,Intoxicação por anticoagulantes
T479,Intoxicação por substância não especificada que atua primariamente sobre o aparelho gastrointestinal
T509,"Intoxicação por outras drogas, medicamentos e substâncias biológicas e as não especificadas"
T518,Efeito tóxico de outros álcoois
T630,Efeito tóxico do veneno de serpente
T632,Efeito tóxico do veneno de escorpião
T633,Efeito tóxico do veneno de aranha
T658,Efeito tóxico de outras substâncias especificadas
T659,Efeito tóxico de substância não especificada
T742,Abuso sexual
T758,Outros efeitos especificados de causas externas
T810,Hemorragia e hematoma complicando procedimento não classificado em outra parte
T813,Deiscência de ferida cirúrgica não classificada em outra parte
T814,Infecção subseqüente a procedimento não classificada em outra parte
T818,Outras complicações de procedimentos não classificadas em outra parte
T821,Complicação mecânica de dispositivo eletrônico cardíaco
T828,"Outras complicações de dispositivos protéticos, implantes e enxertos cardíacos e vasculares"
T829,"Complicações não especificada de dispositivo protético, implante e enxerto cardíacos e vasculares"
T840,Complicação mecânica de prótese articular interna
T841,Complicação mecânica de dispositivo de fixação interna de ossos dos membros
T844,"Complicação mecânica de outros dispositivos, implantes e enxertos ortopédicos internos"
T845,Infecção e reação inflamatória devidas à prótese articular interna
T846,Infecção e reação inflamatória devidas a dispositivo de fixação interna [qualquer local]
T847,"Infecção e reação inflamatória devidas a outros dispositivos protéticos, implantes e enxertos ortopédicos internos"
T848,"Outras complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
T849,"Complicação não especificada de dispositivo protético, implante e enxerto ortopédicos internos"
T850,Complicação mecânica de shunt ventricular (comunicação) intracraniano
T852,Complicação mecânica de lente intraocular
T858,"Outras complicações de dispositivos protéticos, implantes e enxertos internos não classificados em outra parte"
T859,"Complicação não especificada de outros dispositivos protéticos, implantes e enxertos internos"
T860,Rejeição a transplante de medula óssea
T861,Falência ou rejeição de transplante de rim
T862,Falência ou rejeição de transplante de coração
T864,Falência ou rejeição de transplante de fígado
T868,Outra insuficiência ou rejeição de outros órgãos ou tecidos transplantados
T869,Falência e rejeição a transplante de órgão ou tecido não especificado
T874,Infecção de coto da amputação
T885,Outras complicações de anestesia
T888,Outras complicações de cuidados médicos e cirúrgicos especificados não classificados em outra parte
T889,Complicação não especificada de cuidados médicos e cirúrgicos
T905,Seqüelas de traumatismo intracraniano
T908,Seqüelas de outros traumatismos especificados da cabeça
T925,Seqüelas de traumatismo de músculo e tendão do membro superior
T931,Seqüelas de fratura do fêmur
T932,Seqüelas de outras fraturas do membro inferior
T959,"Seqüelas de queimadura, corrosão e geladura de local não especificado"
T981,Seqüelas em outros efeitos de causas externas e os não especificados
T983,Seqüelas de complicações dos cuidados médicos e cirúrgicos não classificados em outra parte
Z000,Exame médico geral
Z001,Exame de rotina de saúde da criança
Z005,Exame de doador potencial de órgão e tecido
Z008,Outros exames gerais
Z010,Exame dos olhos e da visão
Z018,Outros exames especiais especificados
Z019,Exame especial não especificado
Z031,Observação por suspeita de neoplasia maligna
Z038,Observação por suspeita de outras doenças e afecções
Z039,Observação por suspeita de doença ou afecção não especificada
Z044,Exame e observação após alegação de estupro e sedução
Z048,Exame e observação por outras razões especificadas
Z121,Exame especial de rastreamento de neoplasia do trato intestinal
Z125,Exame especial de rastreamento de neoplasia da próstata
Z129,Exame especial de rastreamento de neoplasia não especificada
Z209,Contato com e exposição a doença transmissível não especificada
Z302,Esterilização
Z348,Supervisão de outra gravidez normal
Z349,"Supervisão de gravidez normal, não especificada"
Z358,Supervisão de outras gravidezes de alto risco
Z359,Supervisão não especificada de gravidez de alto risco
Z380,"Criança única, nascida em hospital"
Z390,Assistência e exame imediatamente após o parto
Z392,Seguimento pós-parto de rotina
Z418,Outros procedimentos para outros propósitos exceto cuidados de saúde
Z421,Seguimento envolvendo cirurgia plástica de mama
Z429,Seguimento envolvendo cirurgia plástica não especificada
Z436,Cuidados a outros orifícios artificiais das vias urinárias
Z470,Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna
Z478,Outros seguimentos ortopédicos especificados
Z488,Outro seguimento cirúrgico especificado
Z489,Seguimento cirúrgico não especificado
Z511,Sessão de quimioterapia por neoplasia
Z518,Outro cuidado médico especificado
Z519,Cuidado médico não especificado
Z523,Doador de medula óssea
Z524,Doador de rim
Z525,Doador de córnea
Z526,Doador de fígado
Z528,Doador de outros órgãos ou tecidos
Z529,Doador de órgão ou tecido não especificado
Z530,Procedimento não realizado devido à contra-indicação
Z532,Procedimento não realizado devido à decisão do paciente por outras razões e as não especificadas
Z538,Procedimento não realizado por outras razões
Z539,Procedimento não realizado por razão não especificada
Z540,Convalescença após cirurgia
Z609,Problema não especificado relacionado com o meio social
Z741,Necessidade de assistência com cuidados pessoais
Z762,Supervisão de cuidado de saúde de outras crianças ou recém-nascidos sadios
Z763,Pessoa em boa saúde acompanhando pessoa doente
Z853,História pessoal de neoplasia maligna de mama
Z931,Gastrostomia
Z940,Rim transplantado
Z941,Coração transplantado
Z942,Pulmão transplantado
Z944,Fígado transplantado
Z948,Outros órgãos e tecidos transplantados
Z988,Outros estados pós-cirúrgicos especificados
A08,"Infecções intestinais virais, outras e as não especificadas"
A41,Outras septicemias
A48,Outras doenças bacterianas não classificadas em outra parte
A49,Infecção bacteriana de localização não especificada
A50,Sífilis congênita
B34,"Doenças por vírus, de localização não especificada"
C10,Neoplasia maligna da orofaringe
C15,Neoplasia maligna do esôfago
C16,Neoplasia maligna do estômago
C17,Neoplasia maligna do intestino delgado
C18,Neoplasia maligna do cólon
C21,Neoplasia maligna do ânus e do canal anal
C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas
C25,Neoplasia maligna do pâncreas
C32,Neoplasia maligna da laringe
C34,Neoplasia maligna dos brônquios e dos pulmões
C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros
C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
C43,Melanoma maligno da pele
C44,Outras neoplasias malignas da pele
C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C50,Neoplasia maligna da mama
C51,Neoplasia maligna da vulva
C53,Neoplasia maligna do colo do útero
C54,Neoplasia maligna do corpo do útero
C60,Neoplasia maligna do pênis
C62,Neoplasia maligna dos testículos
C67,Neoplasia maligna da bexiga
C71,Neoplasia maligna do encéfalo
C72,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C74,Neoplasia maligna da glândula supra-renal [Glândula adrenal]
C76,Neoplasia maligna de outras localizações e de localizações mal definidas
C81,Doença de Hodgkin
C83,Linfoma não-Hodgkin difuso
C90,Mieloma múltiplo e neoplasias malignas de plasmócitos
C91,Leucemia linfóide
C92,Leucemia mielóide
D16,Neoplasia benigna de osso e de cartilagem articular
D17,Neoplasia lipomatosa benigna
D25,Leiomioma do útero
D33,Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D43,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D46,Síndromes mielodisplásicas
D48,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D64,Outras anemias
E44,Desnutrição protéico-calórica de graus moderado e leve
E66,Obesidade
E87,Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
F06,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
F10,Transtornos mentais e comportamentais devidos ao uso de álcool
F14,Transtornos mentais e comportamentais devidos ao uso da cocaína
F19,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
F20,Esquizofrenia
F23,Transtornos psicóticos agudos e transitórios
F31,Transtorno afetivo bipolar
F32,Episódios depressivos
F60,Transtornos específicos da personalidade
F70,Retardo mental leve
F71,Retardo mental moderado
F72,Retardo mental grave
F79,Retardo mental não especificado
F84,Transtornos globais do desenvolvimento
G40,Epilepsia
G54,Transtornos das raízes e dos plexos nervosos
G82,Paraplegia e tetraplegia
G91,Hidrocefalia
H02,Outros transtornos da pálpebra
H25,Catarata senil
I21,Infarto agudo do miocárdio
I24,Outras doenças isquêmicas agudas do coração
I26,Embolia pulmonar
I46,Parada cardíaca
I50,Insuficiência cardíaca
I60,Hemorragia subaracnóide
I69,Seqüelas de doenças cerebrovasculares
I73,Outras doenças vasculares periféricas
I74,Embolia e trombose arteriais
I82,Outra embolia e trombose venosas
I83,Varizes dos membros inferiores
I84,Hemorróidas
J11,Influenza [gripe] devida a vírus não identificado
J15,Pneumonia bacteriana não classificada em outra parte
J18,Pneumonia por microorganismo não especificada
J20,Bronquite aguda
J21,Bronquiolite aguda
J35,Doenças crônicas das amígdalas e das adenóides
J44,Outras doenças pulmonares obstrutivas crônicas
J45,Asma
J93,Pneumotórax
J96,Insuficiência respiratória não classificada de outra parte
K25,Úlcera gástrica
K29,Gastrite e duodenite
K35,Apendicite aguda
K40,Hérnia inguinal
K42,Hérnia umbilical
K43,Hérnia ventral
K50,Doença de Crohn [enterite regional]
K52,Outras gastroenterites e colites não-infecciosas
K56,Íleo paralítico e obstrução intestinal sem hérnia
K57,Doença diverticular do intestino
K63,Outras doenças do intestino
K65,Peritonite
K74,Fibrose e cirrose hepáticas
K80,Colelitíase
K81,Colecistite
K83,Outras doenças das vias biliares
K87,"Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
K92,Outras doenças do aparelho digestivo
L02,"Abscesso cutâneo, furúnculo e antraz"
L08,Outras infecções localizadas da pele e do tecido subcutâneo
M60,Miosite
M86,Osteomielite
N13,Uropatia obstrutiva e por refluxo
N17,Insuficiência renal aguda
N18,Insuficiência renal crônica
N20,Calculose do rim e do ureter
N39,Outros transtornos do trato urinário
N43,Hidrocele e espermatocele
N64,Outras doenças da mama
N80,Endometriose
N81,Prolapso genital feminino
N84,Pólipo do trato genital feminino
N87,Displasia do colo do útero
O03,Aborto espontâneo
O06,Aborto não especificado
O14,Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
O24,Diabetes mellitus na gravidez
O41,Outros transtornos das membranas e do líquido amniótico
O42,Ruptura prematura de membranas
O45,Descolamento prematuro da placenta [abruptio placentae]
O68,Trabalho de parto e parto complicados por sofrimento fetal
O80,Parto único espontâneo
O82,Parto único por cesariana
P59,Icterícia neonatal devida a outras causas e às não especificadas
Q37,Fenda labial com fenda palatina
R10,Dor abdominal e pélvica
R50,Febre de origem desconhecida e de outras origens
R52,Dor não classificada em outra parte
R56,"Convulsões, não classificadas em outra parte"
S06,Traumatismo intracraniano
S09,Outros traumatismos da cabeça e os não especificados
S32,Fratura da coluna lombar e da pelve
S42,Fratura do ombro e do braço
S52,Fratura do antebraço
S62,Fratura ao nível do punho e da mão
S66,Traumatismo de músculo e tendão ao nível do punho e da mão
S72,Fratura do fêmur
S82,"Fratura da perna, incluindo tornozelo"
S86,Traumatismos de músculo e de tendão ao nível da perna
S92,Fratura do pé (exceto do tornozelo)
T14,Traumatismo de região não especificada do corpo
T94,Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas
Z00,Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado
Z01,Outros exames e investigações especiais de pessoas sem queixa ou diagnóstico relatado
Z34,Supervisão de gravidez normal
Z47,Outros cuidados de seguimento ortopédico
Z98,Outros estados pós-cirúrgicos
